Id1,Iq1,Id3,Iq3,psi_d1,psi_q1,psi_d3,psi_q3,T_fem,P_core
40,200,20,40,9.11589790e-02,3.15559590e-02,4.03654920e-03,5.01455600e-03,128.809100,555.3471
40,200,40,-20,9.16599490e-02,3.20511980e-02,3.87852160e-03,-1.91588260e-03,128.065910,521.2058
40,200,40,0,9.15511080e-02,3.18173860e-02,4.60317400e-03,7.75619290e-05,127.984830,531.4502
40,200,40,20,9.14080890e-02,3.16603890e-02,5.39978760e-03,2.07123910e-03,128.419640,552.0393
80,40,-40,-20,1.18702140e-01,2.55055330e-02,-2.29361820e-03,-1.00061890e-03,21.028528,714.6320
80,40,-40,0,1.18843090e-01,2.66753420e-02,-2.27517030e-03,1.43230230e-03,21.159789,723.0205
80,40,-40,20,1.18292110e-01,2.78258830e-02,-2.28345530e-03,3.97342770e-03,21.235299,742.5060
80,40,-20,-40,1.19090160e-01,2.30564010e-02,1.25784710e-04,-3.53749240e-03,20.978855,722.3757
80,40,-20,-20,1.20029290e-01,2.44506800e-02,2.65360660e-04,-1.11081800e-03,21.276496,716.0758
80,40,-20,0,1.20190640e-01,2.57155540e-02,3.48557410e-04,1.31570580e-03,21.416715,721.2027
80,40,-20,20,1.19655280e-01,2.68918540e-02,3.67116950e-04,3.82983050e-03,21.460152,734.3917
80,40,-20,40,1.18917630e-01,2.82038130e-02,3.57069920e-04,6.28563830e-03,21.406010,766.2356
80,40,0,-40,1.19782080e-01,2.19667780e-02,2.55708250e-03,-3.64445540e-03,21.238600,738.5822
80,40,0,-20,1.20742340e-01,2.34123560e-02,2.69718170e-03,-1.18403540e-03,21.561434,730.6739
80,40,0,0,1.21002240e-01,2.47392550e-02,2.81663350e-03,1.24238070e-03,21.738382,732.5177
80,40,0,20,1.20618000e-01,2.60006300e-02,2.86730530e-03,3.69487730e-03,21.740776,744.2658
80,40,0,40,1.19890300e-01,2.73014460e-02,2.86358000e-03,6.11464800e-03,21.485088,775.4363
80,40,20,-40,1.19932230e-01,2.09202600e-02,4.93117040e-03,-3.76819490e-03,21.536504,763.7273
80,40,20,-20,1.20925820e-01,2.23616370e-02,5.04080340e-03,-1.25942320e-03,21.820777,755.3865
80,40,20,0,1.21299110e-01,2.37177130e-02,5.15235320e-03,1.18371510e-03,21.982423,755.7676
80,40,20,20,1.21059230e-01,2.50528350e-02,5.22022780e-03,3.59328120e-03,21.878265,765.9915
80,40,20,40,1.20354360e-01,2.63669410e-02,5.24759260e-03,5.98415970e-03,21.545796,797.1309
80,40,40,-20,1.20589570e-01,2.13523080e-02,7.39436040e-03,-1.36665800e-03,22.015092,788.6467
80,40,40,0,1.21051050e-01,2.26994290e-02,7.47806090e-03,1.10696110e-03,22.100451,791.6596
80,40,40,20,1.20908760e-01,2.40292800e-02,7.54033870e-03,3.50571480e-03,21.920850,802.7922
80,80,-40,-20,1.17509240e-01,4.48012760e-02,-2.29831470e-03,8.64475050e-04,45.103049,763.8403
80,80,-40,0,1.17956980e-01,4.53537180e-02,-2.09497610e-03,2.86881650e-03,45.990645,776.4889
80,80,-40,20,1.18084240e-01,4.60161120e-02,-1.91267160e-03,4.84279690e-03,46.916044,798.5563
80,80,-20,-40,1.17990340e-01,4.31616110e-02,-2.74614440e-04,-1.31549070e-03,44.026951,755.8122
80,80,-20,-20,1.18677470e-01,4.34906690e-02,-1.15433680e-04,7.70985880e-04,45.263759,753.8823
80,80,-20,0,1.19109190e-01,4.39827800e-02,5.22577840e-05,2.77146920e-03,46.297826,765.2276
80,80,-20,20,1.19216220e-01,4.46342540e-02,2.05681300e-04,4.72575060e-03,47.290831,786.9642
80,80,-20,40,1.18974470e-01,4.53548180e-02,3.27643050e-04,6.66745650e-03,48.149414,815.8025
80,80,0,-40,1.18758740e-01,4.17723320e-02,1.85640990e-03,-1.48235810e-03,43.985368,762.2656
80,80,0,-20,1.19470570e-01,4.21439520e-02,1.99399130e-03,6.31809850e-04,45.342336,759.1562
80,80,0,0,1.19880430e-01,4.26202390e-02,2.12054310e-03,2.65629900e-03,46.513663,767.5863
80,80,0,20,1.19978880e-01,4.32182650e-02,2.24008500e-03,4.60781120e-03,47.603564,785.4767
80,80,0,40,1.19716610e-01,4.39171900e-02,2.33721430e-03,6.52994270e-03,48.507911,813.6665
80,80,20,-40,1.19066550e-01,4.03564360e-02,3.94366810e-03,-1.70127110e-03,43.922276,780.0020
80,80,20,-20,1.19846060e-01,4.07532220e-02,4.05440560e-03,4.40840930e-04,45.308159,777.0957
80,80,20,0,1.20274800e-01,4.12237640e-02,4.14136530e-03,2.49719940e-03,46.585463,784.2462
80,80,20,20,1.20363530e-01,4.17856940e-02,4.22064890e-03,4.47106000e-03,47.755556,799.8591
80,80,20,40,1.20083530e-01,4.24491800e-02,4.30010740e-03,6.39946130e-03,48.762329,823.6181
80,80,40,-20,1.19773500e-01,3.93533610e-02,6.11855560e-03,1.90766870e-04,45.165352,804.4510
80,80,40,0,1.20243760e-01,3.98151770e-02,6.17520470e-03,2.28734790e-03,46.488358,810.3007
80,80,40,20,1.20338910e-01,4.03726370e-02,6.22980640e-03,4.30646170e-03,47.717779,825.1712
80,120,-40,-20,1.17697000e-01,5.76608180e-02,-2.19818010e-03,1.81864690e-03,75.447191,823.1565
80,120,-40,0,1.18160840e-01,5.78055090e-02,-1.96524770e-03,3.50733860e-03,76.033600,832.7200
80,120,-40,20,1.18321490e-01,5.80135810e-02,-1.76865470e-03,5.16097670e-03,76.451809,848.6961
80,120,-20,-40,1.17865170e-01,5.64613750e-02,-6.29762310e-04,3.71906950e-05,74.153510,809.8716
80,120,-20,-20,1.18590120e-01,5.64531090e-02,-4.11434460e-04,1.75592580e-03,74.980216,813.7699
80,120,-20,0,1.19025960e-01,5.65373600e-02,-2.16588080e-04,3.43627110e-03,75.594933,823.9801
80,120,-20,20,1.19163330e-01,5.66977840e-02,-5.10452030e-05,5.07684270e-03,76.055000,839.7932
80,120,-20,40,1.19018660e-01,5.68846040e-02,7.94535050e-05,6.67870560e-03,76.361304,860.8281
80,120,0,-40,1.18521130e-01,5.53088600e-02,1.17373950e-03,-7.31251390e-05,73.453183,811.0030
80,120,0,-20,1.19218180e-01,5.52253180e-02,1.34674480e-03,1.64718440e-03,74.319386,814.0186
80,120,0,0,1.19632380e-01,5.52498590e-02,1.50443860e-03,3.33227330e-03,74.998357,823.7410
80,120,0,20,1.19757080e-01,5.53618800e-02,1.64276930e-03,4.97336770e-03,75.474393,838.0557
80,120,0,40,1.19601350e-01,5.55136200e-02,1.75649150e-03,6.56910110e-03,75.811097,857.4944
80,120,20,-40,1.18844240e-01,5.40799810e-02,2.94148910e-03,-2.56276490e-04,72.771515,820.5029
80,120,20,-20,1.19547740e-01,5.39645720e-02,3.08720460e-03,1.48307250e-03,73.611999,822.3693
80,120,20,0,1.19964060e-01,5.39403650e-02,3.21789240e-03,3.18594190e-03,74.331995,831.1168
80,120,20,20,1.20089230e-01,5.40120160e-02,3.33670210e-03,4.84236410e-03,74.848223,845.8886
80,120,20,40,1.19927920e-01,5.41404920e-02,3.44013750e-03,6.44791230e-03,75.191551,865.8882
80,120,40,-20,1.19551400e-01,5.27033330e-02,4.84523540e-03,1.26708660e-03,72.900663,838.5152
80,120,40,0,1.19985240e-01,5.26656090e-02,4.96143510e-03,2.99914370e-03,73.596227,847.1074
80,120,40,20,1.20119170e-01,5.27024610e-02,5.06564440e-03,4.68382450e-03,74.166022,862.1212
80,160,-40,-20,1.18009170e-01,6.64719650e-02,-2.15889920e-03,2.41058110e-03,104.752300,876.3857
80,160,-40,0,1.18364440e-01,6.63847980e-02,-1.96397700e-03,3.84175550e-03,105.855280,884.2321
80,160,-40,20,1.18463260e-01,6.63158260e-02,-1.80322490e-03,5.23276260e-03,106.749710,895.5546
80,160,-20,-40,1.18118820e-01,6.56107200e-02,-8.71788060e-04,8.88833790e-04,103.432960,862.5353
80,160,-20,-20,1.18718610e-01,6.54310030e-02,-6.71793950e-04,2.34628420e-03,104.755810,866.9224
80,160,-20,0,1.19056670e-01,6.52994660e-02,-5.01432650e-04,3.76916000e-03,105.887530,875.0938
80,160,-20,20,1.19143780e-01,6.51937660e-02,-3.58448200e-04,5.15419880e-03,106.797220,885.9343
80,160,-20,40,1.19001680e-01,6.50961610e-02,-2.40251290e-04,6.50598830e-03,107.480110,899.7421
80,160,0,-40,1.18630320e-01,6.46416310e-02,6.35521900e-04,8.05813620e-04,103.179050,859.4951
80,160,0,-20,1.19219870e-01,6.44069030e-02,8.11784140e-04,2.25677880e-03,104.581610,864.4135
80,160,0,0,1.19552280e-01,6.42210000e-02,9.62117890e-04,3.67522500e-03,105.756870,872.8219
80,160,0,20,1.19637460e-01,6.40673310e-02,1.08866020e-03,5.05918930e-03,106.693160,883.9195
80,160,0,40,1.19490620e-01,6.39455220e-02,1.19720090e-03,6.41355610e-03,107.400900,897.9830
80,160,20,-40,1.18902680e-01,6.36428770e-02,2.13715750e-03,6.72290680e-04,102.724440,862.7875
80,160,20,-20,1.19497680e-01,6.33611180e-02,2.29711760e-03,2.12669610e-03,104.190440,867.7227
80,160,20,0,1.19837310e-01,6.31302480e-02,2.43437120e-03,3.54922420e-03,105.428750,876.2078
80,160,20,20,1.19931040e-01,6.29361980e-02,2.55104350e-03,4.94008170e-03,106.412170,887.7736
80,160,20,40,1.19786400e-01,6.27870410e-02,2.65292860e-03,6.30596880e-03,107.162370,902.7612
80,160,40,-20,1.19530740e-01,6.23102620e-02,3.80140720e-03,1.95484420e-03,103.616370,876.7258
80,160,40,0,1.19885450e-01,6.20406070e-02,3.92847200e-03,3.39006210e-03,104.899840,885.1674
80,160,40,20,1.19995220e-01,6.18136150e-02,4.04010750e-03,4.79605280e-03,105.922130,896.6840
80,200,-40,-20,1.18133390e-01,7.28763200e-02,-2.07234320e-03,2.67229190e-03,138.011250,916.0544
80,200,-40,0,1.18401460e-01,7.26498530e-02,-1.91950490e-03,3.87692900e-03,138.453180,920.9042
80,200,-40,20,1.18468690e-01,7.24271830e-02,-1.79394040e-03,5.05880430e-03,138.735470,927.9623
80,200,-20,-40,1.18254890e-01,7.22891950e-02,-9.74707940e-04,1.39932220e-03,136.735200,905.4393
